Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,AMF,NSC,Outcome
1,C,Acer saccharum,0.106,Med,2017,Prunus serotina,I,22.0,12.15,1.0
1,C,Quercus alba,0.106,Med,2017,Quercus rubra,970,15.82,19.29,0.0
1,C,Quercus rubra,0.106,Med,2017,Prunus serotina,J,24.45,15.01,1.0
7,D,Acer saccharum,0.08,Med,2016,Prunus serotina,J,22.23,12.36,1.0
14,A,Acer saccharum,0.06,Low,2017,Prunus serotina,689,21.15,11.2,1.0
1,C,Prunus serotina,0.106,Med,2016,Acer rubrum,1332,35.29,13.79,1.0
1,A,Quercus rubra,0.108,Med,2016,Acer saccharum,1323,28.74,14.65,0.0
1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,394,14.16,12.16,1.0
1,C,Quercus rubra,0.106,Med,2017,Prunus serotina,I,24.45,15.01,0.0
1,C,Quercus alba,0.106,Med,2017,Acer saccharum,561,19.68,22.56,1.0
1,C,Quercus alba,0.106,Med,2016,Quercus alba,1478,11.14,17.75,1.0
1,A,Quercus alba,0.108,Med,2017,Acer rubrum,1332,11.45,23.72,1.0
1,A,Quercus alba,0.108,Med,2017,Quercus rubra,1454,17.54,18.65,0.0
1,A,Acer saccharum,0.108,Med,2017,Acer saccharum,1757,22.98,12.31,1.0
1,A,Acer saccharum,0.108,Med,2017,Sterile,561,8.55,11.57,1.0
1,A,Acer saccharum,0.108,Med,2016,Quercus alba,1320,12.86,12.5,1.0
1,A,Quercus rubra,0.108,Med,2017,Quercus rubra,970,20.45,16.19,0.0
1,A,Quercus alba,0.108,Med,2016,Quercus alba,1320,10.68,18.21,1.0
1,A,Quercus alba,0.108,Med,2016,Acer saccharum,1323,18.04,23.07,1.0
1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,891,14.16,12.16,1.0
1,A,Quercus alba,0.108,Med,2016,Populus grandidentata,118,20.19,22.48,0.0
1,C,Quercus rubra,0.106,Med,2017,Quercus alba,1715,19.32,18.09,0.0
1,C,Quercus alba,0.106,Med,2017,Acer rubrum,50,12.15,24.42,0.0
1,C,Quercus alba,0.106,Med,2017,Acer rubrum,1468,12.15,24.42,0.0
1,A,Acer saccharum,0.108,Med,2017,Acer rubrum,1386,16.6,12.05,1.0
1,A,Acer saccharum,0.108,Med,2016,Sterile,1323,8.55,11.57,1.0
1,A,Acer saccharum,0.108,Med,2016,Acer rubrum,1332,16.6,12.05,1.0
1,A,Prunus serotina,0.108,Med,2016,Populus grandidentata,394,37.91,11.52,1.0
1,C,Quercus alba,0.106,Med,2017,Prunus serotina,J,14.77,24.33,0.0
1,D,Acer saccharum,0.107,Med,2016,Populus grandidentata,285,14.55,12.15,1.0
1,B,Acer saccharum,0.1,Med,2016,Populus grandidentata,277,14.8,12.22,1.0
1,C,Quercus alba,0.106,Med,2017,Quercus rubra,921,15.82,19.29,1.0
1,A,Quercus rubra,0.108,Med,2017,Quercus alba,1205,23.71,16.91,1.0
1,A,Quercus rubra,0.108,Med,2017,Sterile,1454,9.71,15.17,0.0
1,B,Prunus serotina,0.1,Med,2017,Acer saccharum,1323,39.43,13.36,1.0
1,B,Prunus serotina,0.1,Med,2017,Acer rubrum,1326,19.17,12.04,1.0
1,D,Prunus serotina,0.107,Med,2017,Quercus alba,415,30.83,13.68,1.0
1,C,Quercus alba,0.106,Med,2017,Sterile,1205,10.3,19.48,0.0
2,A,Acer saccharum,0.083,Med,2016,Acer saccharum,1330,19.63,12.2,1.0
1,A,Quercus rubra,0.108,Med,2017,Populus grandidentata,277,17.7,19.67,0.0
2,A,Prunus serotina,0.083,Med,2017,Quercus alba,1205,24.39,11.96,1.0
2,C,Prunus serotina,0.097,Med,2017,Sterile,689,8.3,11.84,1.0
1,C,Quercus rubra,0.106,Med,2017,Sterile,970,9.66,15.72,1.0
2,C,Acer saccharum,0.097,Med,2016,Populus grandidentata,394,15.31,12.22,1.0
2,A,Prunus serotina,0.083,Med,2017,Quercus alba,1320,24.39,11.96,1.0
2,C,Prunus serotina,0.097,Med,2017,Quercus rubra,984,33.29,13.76,1.0
1,E,Quercus alba,0.098,Med,2017,Quercus alba,1205,13.63,17.53,0.0
2,D,Acer saccharum,0.1,Med,2017,Quercus alba,415,13.21,12.52,1.0
2,D,Acer saccharum,0.1,Med,2017,Quercus rubra,984,14.57,12.17,1.0
1,B,Quercus alba,0.1,Med,2017,Quercus rubra,984,11.18,17.86,0.0
1,D,Quercus rubra,0.107,Med,2017,Acer rubrum,1326,20.34,14.47,0.0
3,C,Quercus rubra,0.103,Med,2017,Acer saccharum,1330,30.44,14.81,1.0
1,D,Quercus alba,0.107,Med,2017,Sterile,415,11.59,17.84,1.0
1,B,Quercus alba,0.1,Med,2016,Acer saccharum,1330,23.5,22.58,0.0
1,D,Quercus alba,0.107,Med,2017,Sterile,1297,11.59,17.84,0.0
1,D,Quercus rubra,0.107,Med,2017,Prunus serotina,H,23.34,15.66,1.0
1,B,Quercus rubra,0.1,Med,2017,Quercus rubra,1595,20.4,14.71,0.0
1,B,Quercus rubra,0.1,Med,2017,Prunus serotina,689,25.8,15.31,1.0
3,C,Acer saccharum,0.103,Med,2016,Populus grandidentata,1201,14.82,12.2,1.0
3,C,Acer saccharum,0.103,Med,2017,Prunus serotina,689,22.16,12.13,1.0
1,B,Quercus rubra,0.1,Med,2017,Prunus serotina,G,25.8,15.31,1.0
1,D,Quercus rubra,0.107,Med,2017,Acer saccharum,1757,27.66,14.73,0.0
3,A,Prunus serotina,0.08,Med,2016,Acer saccharum,961,31.81,11.66,1.0
1,B,Quercus rubra,0.1,Med,2017,Prunus serotina,1027,25.8,15.31,1.0
3,A,Acer saccharum,0.08,Med,2016,Quercus rubra,1454,14.69,12.11,1.0
3,A,Prunus serotina,0.08,Med,2017,Acer rubrum,1468,32.34,11.26,1.0
1,B,Quercus alba,0.1,Med,2017,Prunus serotina,G,15.35,23.37,0.0
1,B,Quercus rubra,0.1,Med,2016,Quercus rubra,921,20.4,14.71,0.0
1,D,Acer saccharum,0.107,Med,2017,Sterile,1757,7.86,12.25,1.0
1,D,Quercus rubra,0.107,Med,2017,Acer rubrum,50,20.34,14.47,1.0
1,D,Quercus rubra,0.107,Med,2016,Populus grandidentata,891,14.3,19.79,1.0
1,B,Quercus rubra,0.1,Med,2017,Acer rubrum,1386,20.11,14.56,0.0
3,D,Quercus rubra,0.087,Med,2016,Quercus rubra,1688,15.64,14.81,1.0
1,B,Quercus alba,0.1,Med,2017,Acer rubrum,1386,12.86,23.98,0.0
3,B,Prunus serotina,0.082,Med,2017,Prunus serotina,G,30.68,11.9,1.0
1,D,Quercus alba,0.107,Med,2017,Sterile,1478,11.59,17.84,0.0
1,E,Quercus alba,0.098,Med,2016,Acer saccharum,961,22.03,22.71,0.0
2,A,Acer saccharum,0.083,Med,2017,Populus grandidentata,891,14.7,12.02,1.0
2,A,Prunus serotina,0.083,Med,2017,Sterile,1027,10.01,11.59,1.0
2,A,Quercus alba,0.083,Med,2016,Quercus rubra,984,22.69,20.32,1.0
3,B,Acer saccharum,0.082,Med,2017,Quercus rubra,1595,14.34,12.07,1.0
2,C,Acer saccharum,0.097,Med,2016,Sterile,961,6.92,12.31,1.0
3,D,Quercus rubra,0.087,Med,2017,Prunus serotina,J,22.29,14.95,1.0
2,A,Quercus rubra,0.083,Med,2017,Sterile,1688,4.89,14.51,1.0
3,D,Acer saccharum,0.087,Med,2016,Populus grandidentata,285,14.72,12.21,1.0
3,B,Acer saccharum,0.082,Med,2017,Acer rubrum,1326,19.14,12.02,1.0
2,C,Quercus alba,0.097,Med,2017,Prunus serotina,G,15.71,23.37,0.0
2,C,Quercus alba,0.097,Med,2016,Populus grandidentata,394,27.93,20.57,0.0
4,C,Acer saccharum,0.079,Med,2017,Quercus alba,1205,14.89,12.55,1.0
2,C,Quercus rubra,0.097,Med,2017,Sterile,970,8.78,15.47,1.0
2,C,Quercus rubra,0.097,Med,2017,Acer rubrum,1468,22.17,14.45,0.0
2,A,Acer saccharum,0.083,Med,2017,Quercus alba,1205,14.7,12.54,1.0
2,A,Prunus serotina,0.083,Med,2016,Acer rubrum,1386,29.89,11.48,1.0
